Date,SPY_US_Equity,QQQ_US_Equity,IWD_US_Equity,IWF_US_Equity,IWN_US_Equity,MDY_US_Equity,IWM_US_Equity,IWO_US_Equity,EFA_US_Equity,EWJ_US_Equity,EWW_US_Equity,EWY_US_Equity,EWH_US_Equity,EWZ_US_Equity,IYR_US_Equity,SPLV_US_Equity,TLT_US_Equity,IEF_US_Equity,SHY_US_Equity,TIP_US_Equity,LQD_US_Equity,HYG_US_Equity,GLD_US_Equity
2018.06.22,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.923478,0.003478,0.003478,0.003478,0.003478
2018.06.29,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.923478,0.003478,0.003478,0.003478,0.003478
2018.07.06,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.923478,0.003478,0.003478,0.003478,0.003478
2018.07.13,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.923478,0.003478,0.003478,0.003478,0.003478
2018.07.20,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.923478,0.003478,0.003478,0.003478,0.003478
2018.07.27,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.923478,0.003478,0.003478,0.003478,0.003478
2018.08.03,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.923478,0.003478,0.003478,0.003478,0.003478
2018.08.10,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.923478,0.003478,0.003478,0.003478,0.003478
2018.08.17,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.923478,0.003478,0.003478,0.003478,0.003478
2018.08.24,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.923478,0.003478,0.003478,0.003478,0.003478
2018.08.31,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.923478,0.003478,0.003478,0.003478,0.003478
2018.09.07,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.923478,0.003478,0.003478,0.003478,0.003478
2018.09.14,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.923478,0.003478,0.003478,0.003478,0.003478